,Similarity,Emoji Sequence,Target Emoji Sequence
51657,0.9318862,🌛🐯😷🤷🏻,😐👍
54353,0.93177915,🤝🚶,😐👍
53988,0.93176067,🙏💜🥰,😐👍
8959,0.9311352,🥰🤗😘,😐👍
34153,0.9303251,😬🤤,😐👍
49571,0.9299983,"😂🍀""",😐👍
13185,1.0000001,😭😭😢😢,😭😭😢😢
55096,0.8732352,🌱🧠💎🏄,😭😭😢😢
6121,0.8692356,😰😭,😭😭😢😢
2344,0.8688224,😂😂😂🤣🤣🤣🤣,😭😭😢😢
6152,0.8617294,😭😱,😭😭😢😢
3168,0.860889,😃😃😃😃😃😃,😭😭😢😢
13448,0.8589093,🥲🚶,😭😭😢😢
55899,0.85831,🙄🤭🤭🤭,😭😭😢😢
22664,0.856643,🤙🏻🤙🏻🤙🏻🤙🏻,😭😭😢😢
14018,0.85604495,😏😭,😭😭😢😢
52079,0.85529584,😂💰,😭😭😢😢
17411,0.8531903,😀😀🤣,😭😭😢😢
11969,0.85277826,😂😂😂😅😅,😭😭😢😢
59328,0.85208845,🥺🥺😂😂😂😂,😭😭😢😢
44475,0.84901273,🤲🏻💙💙,😭😭😢😢
2552,0.8459588,😓😓😓😓,😭😭😢😢
13545,0.8459017,🥳🥳🎂,😭😭😢😢
7547,0.8453855,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,😭😭😢😢
2050,0.8444046,😭😂😂😂😂😂,😭😭😢😢
9359,0.84418327,🙄👎,😭😭😢😢
25597,1.0000001,🤪👌,🤪👌
53225,0.8102649,👋🌞🤗☕,🤪👌
7492,0.8024659,😍😍👍,🤪👌
1175,0.79273945,💙✨,🤪👌
5052,0.7862158,😪😴,🤪👌
22449,0.7833952,👋☕☕,🤪👌
52953,0.7833756,🙂❤🙂,🤪👌
11254,0.7817914,😘😘😘🤗,🤪👌
24171,0.7796816,😘✊,🤪👌
8354,0.77831304,😘🌷🌷🌷,🤪👌
9610,0.77789545,🤜🤛🤜🤛,🤪👌
2819,0.7769595,👋🏻👋🏻,🤪👌
12826,0.7697302,😯😍,🤪👌
2326,0.76956916,👋😊,🤪👌
4500,0.76871544,😇🤗,🤪👌
38117,0.7677543,🥺😍💖,🤪👌
15749,0.7657375,🌺🌺🌺😘,🤪👌
2167,0.76546615,😘💜,🤪👌
7637,0.7651369,🤗🤩,🤪👌
5059,0.7649826,🖤🤍🖤🤍,🤪👌
9944,1.0,👩🏾‍❤,👩🏾‍❤
50542,0.8884172,😁😆🤭,👩🏾‍❤
52079,0.8878185,😂💰,👩🏾‍❤
51776,0.8844876,😅🤣😅😂,👩🏾‍❤
3717,0.8801044,👀👀👀👀👀👀👀,👩🏾‍❤
27677,0.87765056,🐳🐋,👩🏾‍❤
19209,0.8764454,😹👎,👩🏾‍❤
5667,0.8752548,🤣😹,👩🏾‍❤
3416,0.87475723,🔫🔫,👩🏾‍❤
22497,0.8739596,😭💀😂,👩🏾‍❤
10875,0.8738748,😂😂😂😏,👩🏾‍❤
12321,0.8727291,😂😂🤕,👩🏾‍❤
11300,0.871967,🤗😃,👩🏾‍❤
57616,0.869897,😭💜💜💜💜💜,👩🏾‍❤
56387,0.8691201,😍🥳😍,👩🏾‍❤
55429,0.8669896,😭😭😭😂😂😂🤣,👩🏾‍❤
52797,0.8666236,🇩🇿🔥🇩🇿🔥,👩🏾‍❤
14032,0.8658743,🥺🫀,👩🏾‍❤
8634,0.8654573,😂😂😂🤦🏽‍♂,👩🏾‍❤
46539,0.86486983,🙌😞,👩🏾‍❤
35807,0.99999994,😷🦠💉,😷🦠💉
6655,0.81782824,🚔🚨,😷🦠💉
26495,0.80027354,🔴🚨,😷🦠💉
13500,0.79797226,🇨🇺🇨🇺🇨🇺,😷🦠💉
5110,0.7973388,👉🔗,😷🦠💉
5126,0.79711854,🔥🚒,😷🦠💉
6257,0.7929115,"""🔵🔴",😷🦠💉
2241,0.792412,💯❌💯🇨🇺,😷🦠💉
45842,0.7905885,🚨🚓,😷🦠💉
6256,0.78973275,👇🔗,😷🦠💉
6352,0.7840653,🚨👨🏻‍🚒🚒,😷🦠💉
20582,0.7839387,📱🗣,😷🦠💉
25429,0.7814133,"👇🔗""",😷🦠💉
9909,0.77833223,🔴🎙,😷🦠💉
6111,0.777262,🦀⚽,😷🦠💉
2363,0.7771978,📣📣,😷🦠💉
20467,0.77646524,➖➖➖➖➖➖➖➖➖,😷🦠💉
5652,0.7735085,📰🗞,😷🦠💉
7325,0.7722614,🔵🔴⚫⚪,😷🦠💉
7834,0.77098906,🎄🇻🇪,😷🦠💉
7113,0.99999994,😂😂😂💔💔💔,😂😂😂💔💔💔
6597,0.9132949,😂👏🏽,😂😂😂💔💔💔
2335,0.9017703,😭😹,😂😂😂💔💔💔
788,0.8981413,😂😂💀,😂😂😂💔💔💔
2579,0.8916897,😩😂😂😂,😂😂😂💔💔💔
1132,0.89079845,😂😂😂😭😭,😂😂😂💔💔💔
1416,0.8879128,😀😀😀😀😀😀,😂😂😂💔💔💔
756,0.8865235,🤣🤣🤣😂,😂😂😂💔💔💔
8776,0.87884414,🤞🏾😂,😂😂😂💔💔💔
1961,0.87704337,😂😂💔💔,😂😂😂💔💔💔
1495,0.8754535,😂😂😭😭😭,😂😂😂💔💔💔
2842,0.8733368,😭😭😭😩,😂😂😂💔💔💔
8986,0.8729026,😔🤟,😂😂😂💔💔💔
1106,0.8712038,😂😂😂💀,😂😂😂💔💔💔
1104,0.8695438,🤣💀,😂😂😂💔💔💔
1155,0.8695296,😭😂😂😂😂,😂😂😂💔💔💔
1189,0.8682143,🚶🚶,😂😂😂💔💔💔
1503,0.86669654,🙌😂,😂😂😂💔💔💔
2510,0.86512995,💔😂😂,😂😂😂💔💔💔
915,0.86359775,🚮🚮🚮,😂😂😂💔💔💔
21495,1.0,👍🥶,👍🥶
6099,0.9053562,🥂🤗,👍🥶
8826,0.8941543,💫⭐,👍🥶
4988,0.8893006,🌲🎄,👍🥶
15835,0.8855177,🫂🙏,👍🥶
2289,0.8854471,🍀🤗,👍🥶
3745,0.8848831,💕🎄,👍🥶
35065,0.8838157,🤗🐶,👍🥶
9037,0.8820597,✨🌞,👍🥶
6268,0.8820359,🧑‍🎄🎄,👍🥶
5087,0.88143283,🎸🎸🎸,👍🥶
2631,0.87807226,🥂😘,👍🥶
3587,0.8750145,🎨🖌,👍🥶
39409,0.87317735,💖🎵,👍🥶
2958,0.8718745,😃✨,👍🥶
3393,0.8711364,🎄💕,👍🥶
58707,0.8711348,🎄🌷,👍🥶
41588,0.87011445,😆💓💓💓💓,👍🥶
8505,0.86950135,🤍😘,👍🥶
3729,0.86937237,✨🌙,👍🥶
6891,0.9999999,"😂😂😭😭""","😂😂😭😭"""
35299,0.8874846,😹🥲,"😂😂😭😭"""
5667,0.87006646,🤣😹,"😂😂😭😭"""
51776,0.86227274,😅🤣😅😂,"😂😂😭😭"""
42077,0.86160916,"🥲😍""","😂😂😭😭"""
6090,0.85850066,"😭🤧""","😂😂😭😭"""
10853,0.85694766,😹🤣🤣,"😂😂😭😭"""
14952,0.8527564,"😂😊""","😂😂😭😭"""
4349,0.85057217,🤣😂🤣🤣🤣,"😂😂😭😭"""
9224,0.84956473,😩😩😭😭,"😂😂😭😭"""
52079,0.847988,😂💰,"😂😂😭😭"""
37231,0.8478627,💀😹😹😹😹,"😂😂😭😭"""
52845,0.8470703,🩸🇩🇿,"😂😂😭😭"""
8071,0.8465999,🤣😭🤣😭,"😂😂😭😭"""
55429,0.84658366,😭😭😭😂😂😂🤣,"😂😂😭😭"""
44217,0.84542966,😆😆😆😆🤭,"😂😂😭😭"""
13830,0.84469336,🤣👌🏾,"😂😂😭😭"""
7752,0.84434885,🤬😭,"😂😂😭😭"""
25554,0.8413341,🍭🥰,"😂😂😭😭"""
42119,0.8406294,🪴🌷🚩🔱,"😂😂😭😭"""
46694,0.9999999,"😬🤔""","😬🤔"""
3989,0.60945195,👋✊,"😬🤔"""
45515,0.59054154,😘😘☕🌹,"😬🤔"""
38223,0.5802274,"🕊🕊🕊🕊""","😬🤔"""
44526,0.573872,🥰💕❤,"😬🤔"""
37926,0.5699661,🆕📢,"😬🤔"""
56080,0.5635137,🇧🇷👍,"😬🤔"""
25620,0.5551423,🐛🐛🐛,"😬🤔"""
7500,0.5511985,"🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣""","😬🤔"""
15666,0.54861134,"☕🤗""","😬🤔"""
40192,0.5484985,"👀🍀🤗☕👋""","😬🤔"""
23653,0.5484004,😃🙂,"😬🤔"""
31742,0.5466913,💪🥵,"😬🤔"""
29779,0.5453542,😮🤤,"😬🤔"""
56677,0.5407588,"🙊🔥""","😬🤔"""
10145,0.5388846,🤗☕☕,"😬🤔"""
19591,0.53532475,🤤👌🏻,"😬🤔"""
54857,0.5342823,🤗🌹🌷,"😬🤔"""
30323,0.53384054,"🥳💜""","😬🤔"""
53219,0.5337626,😍💚🙌🏼🏀,"😬🤔"""
37574,0.99999994,🍿🍿🍿🍿🍿🍿🍿🍿,🍿🍿🍿🍿🍿🍿🍿🍿
6260,0.74701023,🥵😈,🍿🍿🍿🍿🍿🍿🍿🍿
14903,0.731219,🤢😷,🍿🍿🍿🍿🍿🍿🍿🍿
7590,0.7219874,🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺,🍿🍿🍿🍿🍿🍿🍿🍿
52410,0.71656644,🤣😂🤣😂🤣😂🤣😂😂,🍿🍿🍿🍿🍿🍿🍿🍿
5712,0.7127477,"😍🤤""",🍿🍿🍿🍿🍿🍿🍿🍿
42333,0.7101559,🤟🤟⚽,🍿🍿🍿🍿🍿🍿🍿🍿
29012,0.7089945,✊🏼🇨🇱,🍿🍿🍿🍿🍿🍿🍿🍿
57430,0.70844406,💯🔝💪,🍿🍿🍿🍿🍿🍿🍿🍿
16432,0.70742667,🙌🏼🥰,🍿🍿🍿🍿🍿🍿🍿🍿
37010,0.704279,💙😡,🍿🍿🍿🍿🍿🍿🍿🍿
30495,0.7007341,"""👏👏👏👏👏👏👏👏👏",🍿🍿🍿🍿🍿🍿🍿🍿
56695,0.69975096,🥰🦅,🍿🍿🍿🍿🍿🍿🍿🍿
57143,0.6990767,🇸🇱🇸🇱,🍿🍿🍿🍿🍿🍿🍿🍿
29987,0.6951953,🤤🥰😍,🍿🍿🍿🍿🍿🍿🍿🍿
58247,0.69379896,😔😰,🍿🍿🍿🍿🍿🍿🍿🍿
29885,0.6937553,😍🕸🕷,🍿🍿🍿🍿🍿🍿🍿🍿
32629,0.6931673,🤍🤞,🍿🍿🍿🍿🍿🍿🍿🍿
4415,0.689035,💩💩💩💩💩💩💩,🍿🍿🍿🍿🍿🍿🍿🍿
2373,0.6870202,😮😮😮😮,🍿🍿🍿🍿🍿🍿🍿🍿
48091,1.0,🥲💕💕,🥲💕💕
11513,0.94605786,👋😆,🥲💕💕
26575,0.9422592,😌🙏✨,🥲💕💕
60169,0.9417713,😭😭✨🙏,🥲💕💕
42538,0.94040793,👯💕,🥲💕💕
44258,0.9396524,🤣🎵,🥲💕💕
11673,0.9391733,❕❕❕❕❕,🥲💕💕
9869,0.9359762,🐻💕,🥲💕💕
53720,0.9348508,🤗🐈,🥲💕💕
15069,0.934243,🤤✨✨,🥲💕💕
14478,0.93402755,😂💦💦,🥲💕💕
4528,0.9339565,😳💓,🥲💕💕
13244,0.9337315,😆💞,🥲💕💕
44794,0.9321486,😁🌈,🥲💕💕
3030,0.9311648,🤤✨,🥲💕💕
5722,0.9310821,🐈🐾,🥲💕💕
19277,0.9307001,😭💓💓💓,🥲💕💕
5563,0.93021876,😇💕,🥲💕💕
57350,0.9298619,😭⭐,🥲💕💕
9170,0.9293977,🙌🎶,🥲💕💕
41437,0.99999994,🌳🌷,🌳🌷
23835,0.86088866,🇨🇱👏,🌳🌷
1096,0.853394,🌹☕,🌳🌷
19084,0.8532851,🌹💙💙🌹,🌳🌷
58215,0.85097694,✌✌💪,🌳🌷
57776,0.8361577,💚💚💚🌳🌳🌳,🌳🌷
40227,0.8330977,🌹🍮😘,🌳🌷
3706,0.83259606,✌🏻❤,🌳🌷
5976,0.83110905,📢🇻🇪⏩➡,🌳🌷
3116,0.8307601,🌹🌷,🌳🌷
17183,0.8277102,🎄🧉🎄,🌳🌷
9083,0.8273451,💞💓,🌳🌷
20818,0.82709426,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,🌳🌷
58283,0.82646745,😏🌟,🌳🌷
37990,0.825027,⬜🧕🏼⬜,🌳🌷
2786,0.82321596,🌹🙏🏻,🌳🌷
31046,0.8227418,🌳🙋🏻‍♀,🌳🌷
29439,0.82077694,❗👏👏👏,🌳🌷
46509,0.82030886,☕🥐☕,🌳🌷
35657,0.8199922,😀😘🌻,🌳🌷
42779,0.99999994,🐶💩,🐶💩
56277,0.9559575,🤞🏾😂😂,🐶💩
14476,0.9558496,🤔💦,🐶💩
57584,0.95422757,🆕🥦,🐶💩
49285,0.95223135,😀💦,🐶💩
55336,0.9514621,"💅🏼💅🏼""",🐶💩
44739,0.94932175,🔥⚡✨,🐶💩
29506,0.94897664,🤲🤣,🐶💩
42118,0.9489016,🔱🚩🌷🪴🙏,🐶💩
51007,0.94679517,"😅🤦""",🐶💩
49891,0.946726,😳📷,🐶💩
29955,0.946579,😛😜😝,🐶💩
20408,0.94592834,🍚🍗🥚🥣🥗🍹🍆,🐶💩
45348,0.9459201,☕🌸,🐶💩
19208,0.94561595,🍳✨,🐶💩
48694,0.94513106,🤍🇶🇦.,🐶💩
41038,0.9447618,💙🤍🔥,🐶💩
50356,0.94469035,😘👇,🐶💩
52595,0.94467217,😅😅😅😅😂,🐶💩
44129,0.94434965,❓😆,🐶💩
44889,1.0,"🤩👌""","🤩👌"""
56804,0.8289622,"🙏🏾🤍""","🤩👌"""
44045,0.8221447,🐺🐾,"🤩👌"""
6721,0.8053593,🤲🏽🤲🏽🤲🏽,"🤩👌"""
8637,0.80490506,🎼🎻,"🤩👌"""
36341,0.80435824,🐈‍⬛🐈‍⬛,"🤩👌"""
23593,0.80285096,💡🔥,"🤩👌"""
8785,0.7996935,💚💙💚💙,"🤩👌"""
51914,0.79897743,💛💙✨,"🤩👌"""
34387,0.7986331,💖✨✨,"🤩👌"""
41858,0.7985511,"😍😭😍😭""","🤩👌"""
43263,0.7977123,🙏🙏🙏😔,"🤩👌"""
33694,0.7970998,😊🌞☕,"🤩👌"""
17396,0.79426587,🙏👳‍♂,"🤩👌"""
43322,0.7940731,🌹🇬🇧,"🤩👌"""
16846,0.7936099,"🥂🥂""","🤩👌"""
8011,0.7918288,💥💥💥💥💥💥💥,"🤩👌"""
53853,0.79105866,"😭😂😭""","🤩👌"""
31770,0.7903048,🤣🙈🤣,"🤩👌"""
25886,0.7892155,"💋😘""","🤩👌"""
6911,1.0,🤣🤣🙏,🤣🤣🙏
40934,0.8788667,😒😭😭😭,🤣🤣🙏
38175,0.8714183,🤌💯,🤣🤣🙏
3479,0.87057436,🥺🙏🏾,🤣🤣🙏
8882,0.8677879,😭✋🏽,🤣🤣🙏
4421,0.8634887,😭🙏🏾,🤣🤣🙏
7518,0.86155045,😂😮‍💨,🤣🤣🙏
4779,0.8596593,🤣🤣🔥,🤣🤣🙏
11047,0.859139,😍😍😭,🤣🤣🙏
10378,0.8591213,🙏🏿😭,🤣🤣🙏
6808,0.85823756,😹😂,🤣🤣🙏
4953,0.8572767,🤌🏾🔥,🤣🤣🙏
10982,0.8567957,😭😁,🤣🤣🙏
13719,0.8567175,😂😂😂😂💀💀,🤣🤣🙏
23754,0.85643876,👀👀😍,🤣🤣🙏
19272,0.8563141,🙏🏼🍀,🤣🤣🙏
10822,0.85469365,"😭😔""",🤣🤣🙏
11982,0.8546257,🤗🤗🥰,🤣🤣🙏
6178,0.8539783,💯🤝,🤣🤣🙏
4159,0.8539127,🥰😭,🤣🤣🙏
